,cik_str,ticker,title,SIC
50,1065280,NFLX,NETFLIX INC,7841
51,1800,ABT,ABBOTT LABORATORIES,2834
52,1707925,LIN,LINDE PLC,2810
53,313616,DHR,DANAHER CORP /DE/,3823
54,1744489,DIS,Walt Disney Co,7990
55,1166691,CMCSA,COMCAST CORP,4841
56,320187,NKE,"NIKE, Inc.",3021
57,72971,WFC,WELLS FARGO & COMPANY/MN,6021
58,1283699,TMUS,"T-Mobile US, Inc.",4812
59,1000184,SAP,SAP SE,7372
60,97476,TXN,TEXAS INSTRUMENTS INC,3674
61,1089113,HSBC,HSBC HOLDINGS PLC,6035
62,753308,NEE,NEXTERA ENERGY INC,4911
63,732712,VZ,VERIZON COMMUNICATIONS INC,4813
64,101829,RTX,RAYTHEON TECHNOLOGIES CORP,3724
65,895421,MS,MORGAN STANLEY,6211
66,879764,TTE,TotalEnergies SE,1311
67,1413329,PM,Philip Morris International Inc.,2111
68,1090727,UPS,UNITED PARCEL SERVICE INC,4210
69,1067839,QQQ,"INVESCO QQQ TRUST, SERIES 1",
70,14272,BMY,BRISTOL MYERS SQUIBB CO,2834
71,804328,QCOM,QUALCOMM INC/DE,3663
72,1442651,SHECY,"Shin-Etsu Chemical Co., Ltd.",
73,773840,HON,HONEYWELL INTERNATIONAL INC,3724
74,50863,INTC,INTEL CORP,3674
75,12927,BA,BOEING CO,3721
76,1121404,SNY,Sanofi,2834
77,1000275,RY,ROYAL BANK OF CANADA,6029
78,4962,AXP,AMERICAN EXPRESS CO,6199
79,217410,UL,UNILEVER PLC,2840
80,1163165,COP,CONOCOPHILLIPS,2911
81,887028,RTNTF,RIO TINTO LTD,1000
82,313838,SONY,Sony Group Corp,3651
83,64040,SPGI,S&P Global Inc.,7320
84,51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,3570
85,60667,LOW,LOWES COMPANIES INC,5211
86,100885,UNP,UNION PACIFIC CORP,4011
87,1144967,HDB,HDFC BANK LTD,6029
88,18230,CAT,CATERPILLAR INC,3531
89,896878,INTU,INTUIT INC.,7372
90,936468,LMT,LOCKHEED MARTIN CORP,3760
91,318154,AMGN,AMGEN INC,2836
92,40545,GE,GENERAL ELECTRIC CO,3600
93,6951,AMAT,APPLIED MATERIALS INC /DE,3674
94,732717,T,AT&T INC.,4813
95,1373715,NOW,"ServiceNow, Inc.",7372
96,829224,SBUX,STARBUCKS CORP,5810
97,1045609,PLD,"Prologis, Inc.",6798
98,1156039,ELV,"Elevance Health, Inc.",6324
99,315189,DE,DEERE & CO,3523
100,886982,GS,GOLDMAN SACHS GROUP INC,6211
101,1613103,MDT,Medtronic plc,3845
102,1035267,ISRG,INTUITIVE SURGICAL INC,3842
103,1668717,BUD,Anheuser-Busch InBev SA/NV,2082
104,1378580,EADSY,Airbus SE/ADR,8880
105,947263,TD,TORONTO DOMINION BANK,6029
106,310764,SYK,STRYKER CORP,3841
107,1393818,BX,Blackstone Inc.,6282
108,863064,RIO,RIO TINTO PLC,1000
109,313807,BP,BP PLC,2911
110,1364742,BLK,BlackRock Inc.,6211
111,1737806,PDD,PDD Holdings Inc.,7389
112,316709,SCHW,SCHWAB CHARLES CORP,6211
113,1103982,MDLZ,"Mondelez International, Inc.",2000
114,1274152,CSLLY,CSL LTD,
115,882095,GILD,"GILEAD SCIENCES, INC.",2836
116,1075531,BKNG,Booking Holdings Inc.,4700
117,835403,DEO,DIAGEO PLC,2080
118,831001,C,CITIGROUP INC,6021
119,64803,CVS,CVS HEALTH Corp,5912
120,109198,TJX,TJX COMPANIES INC /DE/,5651
121,6281,ADI,ANALOG DEVICES INC,3674
122,1140625,EQNR,EQUINOR ASA,2911
123,1119639,PBR,PETROBRAS - PETROLEO BRASILEIRO SA,1311
124,8670,ADP,AUTOMATIC DATA PROCESSING INC,7374
125,62709,MMC,"MARSH & MCLENNAN COMPANIES, INC.",6411
126,1053507,AMT,AMERICAN TOWER CORP /MA/,6798
127,875320,VRTX,VERTEX PHARMACEUTICALS INC / MA,2834
128,1594805,SHOP,SHOPIFY INC.,7372
129,67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,6029
130,1067318,MBGYY,DAIMLER AG,3711
131,1543151,UBER,"Uber Technologies, Inc",7389
132,707549,LRCX,LAM RESEARCH CORP,3559
133,872589,REGN,"REGENERON PHARMACEUTICALS, INC.",2834
134,764180,MO,"ALTRIA GROUP, INC.",2111
135,1103838,IBN,ICICI BANK LTD,6029
136,896159,CB,Chubb Ltd,6331
137,1739940,CI,Cigna Group,6324
138,1555280,ZTS,Zoetis Inc.,2834
139,92122,SO,SOUTHERN CO,4911
140,1463157,PBCRY,PT Bank Central Asia Tbk / ADR,
141,80661,PGR,PROGRESSIVE CORP/OH/,6331
142,895728,ENB,ENBRIDGE INC,4610
143,1559720,ABNB,"Airbnb, Inc.",7340
144,16868,CNI,CANADIAN NATIONAL RAILWAY CO,4011
145,860730,HCA,"HCA Healthcare, Inc.",8062
146,1551182,ETN,Eaton Corp plc,3590
147,885725,BSX,BOSTON SCIENTIFIC CORP,3841
148,1303523,BTI,British American Tobacco p.l.c.,2111
149,49826,ITW,ILLINOIS TOOL WORKS INC,3560
150,748954,ATLKY,ATLAS COPCO AB,8880
151,723125,MU,MICRON TECHNOLOGY INC,3674
152,1129137,AMX,AMERICA MOVIL SAB DE CV/,4813
153,10795,BDX,BECTON DICKINSON & CO,3841
154,16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,4011
155,1091587,ABBNY,ABB LTD,3613
156,1131399,GSK,GSK plc,2834
157,1633917,PYPL,"PayPal Holdings, Inc.",7389
158,1326160,DUK,Duke Energy CORP,4931
159,1101239,EQIX,EQUINIX INC,6798
160,1133421,NOC,NORTHROP GRUMMAN CORP /DE/,3812
161,1327567,PANW,Palo Alto Networks Inc,3577
162,821189,EOG,EOG RESOURCES INC,1311
163,87347,SLB,SCHLUMBERGER LIMITED/NV,1389
164,1443276,TOELY,Tokyo Electron LTD,
165,883241,SNPS,SYNOPSYS INC,7372
166,1156375,CME,CME GROUP INC.,6200
167,823768,WM,WASTE MANAGEMENT INC,4953
168,1096200,ENLAY,ENEL SOCIETA PER AZIONI,4911
169,277948,CSX,CSX CORP,4011
170,49071,HUM,HUMANA INC,6324
171,315293,AON,Aon plc,6411
172,1067491,INFY,Infosys Ltd,7371
173,319201,KLAC,KLA CORP,3827
174,718877,ATVI,"Activision Blizzard, Inc.",7372
175,1099590,MELI,MERCADOLIBRE INC,7389
176,1001250,EL,ESTEE LAUDER COMPANIES INC,2844
177,21665,CL,COLGATE PALMOLIVE CO,2844
178,1610520,UBS,UBS Group AG,6021
179,813672,CDNS,CADENCE DESIGN SYSTEMS INC,7372
180,917851,VALE,Vale S.A.,1000
181,89800,SHW,SHERWIN WILLIAMS CO,5200
182,1404912,KKR,KKR & Co. Inc.,6282
183,1059556,MCO,MOODYS CORP /DE/,7320
184,2969,APD,"Air Products & Chemicals, Inc.",2810
185,927971,BMO,BANK OF MONTREAL /CAN/,6029
186,1571949,ICE,"Intercontinental Exchange, Inc.",6200
187,1017413,CNQ,CANADIAN NATURAL RESOURCES LTD,1311
188,929869,RELX,RELX PLC,7389
189,865752,MNST,Monster Beverage Corp,2086
190,1110646,NTES,"NetEase, Inc.",7372
191,27419,TGT,TARGET CORP,5331
192,9631,BNS,BANK OF NOVA SCOTIA,6022
193,40533,GD,GENERAL DYNAMICS CORP,3730
194,1124610,VMW,"VMWARE, INC.",7372
195,1075124,TRI,THOMSON REUTERS CORP /CAN/,2741
196,1549802,JD,"JD.com, Inc.",5990
197,1058090,CMG,CHIPOTLE MEXICAN GRILL INC,5812
198,1061219,EPD,ENTERPRISE PRODUCTS PARTNERS L.P.,4922
199,1048911,FDX,FEDEX CORP,4513
200,891478,SAN,"Banco Santander, S.A.",6029
201,1640147,SNOW,Snowflake Inc.,7372
202,1132597,ITUB,Itau Unibanco Holding S.A.,6022
203,898173,ORLY,O REILLY AUTOMOTIVE INC,5531
204,1022837,SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",6029
205,37996,F,FORD MOTOR CO,3711
206,1001838,SCCO,SOUTHERN COPPER CORP/,1000
207,66740,MMM,3M CO,3841
208,899108,PRNDY,PERNOD RICARD S A /FI,2080
209,831259,FCX,FREEPORT-MCMORAN INC,1000
210,1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,7011
211,1648416,RACE,Ferrari N.V.,3711
212,1262039,FTNT,"Fortinet, Inc.",3577
213,927653,MCK,MCKESSON CORP,5122
214,1327811,WDAY,"Workday, Inc.",7374
215,30554,CTA-PA,"EIDP, Inc.",2820
216,797468,OXY,OCCIDENTAL PETROLEUM CORP /DE/,1311
217,47111,HSY,HERSHEY CO,2060
218,715153,HMC,HONDA MOTOR CO LTD,3711
219,713676,PNC,"PNC FINANCIAL SERVICES GROUP, INC.",6021
220,1835632,MRVL,"Marvell Technology, Inc.",3674
221,1395064,TAK,TAKEDA PHARMACEUTICAL CO LTD,2834
222,1099800,EW,Edwards Lifesciences Corp,3842
223,1393311,PSA,Public Storage,6798
224,1605484,STLA,Stellantis N.V.,3711
225,31462,ECL,ECOLAB INC.,2840
226,1467858,GM,General Motors Co,3711
227,36104,USB,US BANCORP \DE\,6021
228,1001085,BN,BROOKFIELD Corp /ON/,6512
229,1596532,ANET,"Arista Networks, Inc.",3576
230,1004315,NGG,NATIONAL GRID PLC,4922
231,1091667,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",4841
232,702165,NSC,NORFOLK SOUTHERN CORP,4011
233,1051470,CCI,CROWN CASTLE INC.,6798
234,723254,CTAS,CINTAS CORP,2320
235,1510295,MPC,Marathon Petroleum Corp,2911
236,40704,GIS,GENERAL MILLS INC,2040
237,1565025,ABEV,AMBEV S.A.,2080
238,882835,ROP,ROPER TECHNOLOGIES INC,3823
239,1413447,NXPI,NXP Semiconductors N.V.,3674
240,1093557,DXCM,DEXCOM INC,3841
241,32604,EMR,EMERSON ELECTRIC CO,3600
242,1944048,KVUE,Kenvue Inc.,2844
243,1038357,PXD,PIONEER NATURAL RESOURCES CO,1311
244,1682852,MRNA,"Moderna, Inc.",2836
245,1650372,TEAM,Atlassian Corp,7372
246,1329099,BIDU,"Baidu, Inc.",7370
247,1222333,GLD,SPDR GOLD TRUST,6221
248,1471055,BSBR,Banco Santander (Brasil) S.A.,6029
249,1039765,ING,ING GROEP NV,6029
250,1002242,E,ENI SPA,1311
251,68505,MSI,"Motorola Solutions, Inc.",3663
252,1947559,ANZGY,ANZ GROUP HOLDINGS LIMITED/ADR,
253,820313,APH,AMPHENOL CORP /DE/,3678
254,1032208,SRE,SEMPRA,4932
255,1397187,LULU,lululemon athletica inc.,2300
256,76334,PH,PARKER HANNIFIN CORP,3490
257,55785,KMB,KIMBERLY CLARK CORP,2670
258,1060391,RSG,"REPUBLIC SERVICES, INC.",4953
259,1637459,KHC,Kraft Heinz Co,2030
260,1534701,PSX,Phillips 66,2911
261,875045,BIIB,BIOGEN INC.,2836
262,1300514,LVS,LAS VEGAS SANDS CORP,7011
263,16918,STZ,"CONSTELLATION BRANDS, INC.",2080
264,715957,D,"DOMINION ENERGY, INC",4911
265,354190,AJG,Arthur J. Gallagher & Co.,6411
266,844551,WDS,WOODSIDE ENERGY GROUP LTD,1311
267,1260221,TDG,TransDigm Group INC,3728
268,1418135,KDP,Keurig Dr Pepper Inc.,2080
269,827054,MCHP,MICROCHIP TECHNOLOGY INC,3674
270,833444,JCI,Johnson Controls International plc,3585
271,92230,TFC,TRUIST FINANCIAL CORP,6021
272,4904,AEP,AMERICAN ELECTRIC POWER CO INC,4911
273,866787,AZO,AUTOZONE INC,5531
274,769397,ADSK,"Autodesk, Inc.",7372
275,932787,STM,STMicroelectronics N.V.,3674
276,927628,COF,CAPITAL ONE FINANCIAL CORP,6021
277,842180,BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",6029
278,1004980,PCG,PG&E Corp,4931
279,718940,BCE,BCE INC,4813
280,4447,HES,HESS CORP,2911
281,4977,AFL,AFLAC INC,6321
282,1858681,APO,"Apollo Global Management, Inc.",6282
283,1232384,TRP,TC ENERGY CORP,4922
284,1063761,SPG,SIMON PROPERTY GROUP INC /DE/,6798
285,1099219,MET,METLIFE INC,6311
286,900075,CPRT,COPART INC,5500
287,5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",6331
288,726728,O,REALTY INCOME CORP,6798
289,1035002,VLO,VALERO ENERGY CORP/TX,2911
290,86312,TRV,"TRAVELERS COMPANIES, INC.",6331
291,1385157,TEL,TE Connectivity Ltd.,5065
292,1466258,TT,Trane Technologies plc,3822
293,723531,PAYX,PAYCHEX INC,8700
294,75362,PCAR,PACCAR INC,3711
295,766704,WELL,WELLTOWER INC.,6798
296,1109357,EXC,EXELON CORP,4931
297,1276187,ET,Energy Transfer LP,4922
298,1755672,CTVA,"Corteva, Inc.",0100
299,311337,SU,SUNCOR ENERGY INC,2911
300,7084,ADM,Archer-Daniels-Midland Co,2070
301,1512673,SQ,"Block, Inc.",7372
302,1045520,CM,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,6029
303,882184,DHI,HORTON D R INC /DE/,1531
304,1167379,ALC,ALCON INC,3851
305,1116578,PUK,PRUDENTIAL PLC,6311
306,1335730,MFG,MIZUHO FINANCIAL GROUP INC,6021
307,1097864,ON,ON SEMICONDUCTOR CORP,3674
308,1506307,KMI,"KINDER MORGAN, INC.",4922
309,1478242,IQV,IQVIA HOLDINGS INC.,8731
310,1408198,MSCI,MSCI Inc.,7389
311,1585689,HLT,Hilton Worldwide Holdings Inc.,7011
312,1071739,CNC,CENTENE CORP,6324
313,1900304,HLN,Haleon plc,2844
314,1783180,CARR,CARRIER GLOBAL Corp,3585
315,874716,IDXX,IDEXX LABORATORIES INC /DE,2835
316,1041061,YUM,YUM BRANDS INC,5812
317,107263,WMB,"WILLIAMS COMPANIES, INC.",4922
318,1060736,SGEN,Seagen Inc.,2836
319,1160330,BBD,BANK BRADESCO,6022
320,1160106,LYG,Lloyds Banking Group plc,6029
321,895564,BAESY,BAE SYSTEMS PLC /FI/,
322,96021,SYY,SYSCO CORP,5140
323,1751788,DOW,DOW INC.,2821
324,1671933,TTD,"Trade Desk, Inc.",7370
325,73309,NUE,NUCOR CORP,3312
326,948696,HCMLY,LafargeHolcim Ltd/ADR,
327,1278680,IAU,ISHARES GOLD TRUST,6221
328,1932393,GEHC,GE HealthCare Technologies Inc.,3844
329,1140859,ABC,AMERISOURCEBERGEN CORP,5122
330,1703399,SE,Sea Ltd,7380
331,3570,LNG,"Cheniere Energy, Inc.",4924
332,202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",3812
333,849395,CRH,CRH PUBLIC LTD CO,3241
334,277135,GWW,"W.W. GRAINGER, INC.",5000
335,1086888,MFC,MANULIFE FINANCIAL CORP,6311
336,745732,ROST,"ROSS STORES, INC.",5651
337,1446596,FANUY,Fanuc Ltd,
338,1781335,OTIS,Otis Worldwide Corp,3600
339,1535527,CRWD,"CrowdStrike Holdings, Inc.",7372
340,1279967,CRARY,CREDIT AGRICOLE S A,
341,72903,XEL,XCEL ENERGY INC,4931
342,1390777,BK,Bank of New York Mellon Corp,6022
343,1024478,ROK,"ROCKWELL AUTOMATION, INC",3829
344,1318220,WCN,"Waste Connections, Inc.",4953
345,1571996,DELL,Dell Technologies Inc.,3571
346,1691493,NU,Nu Holdings Ltd.,6199
347,1037868,AME,AMETEK INC/,3823
348,712515,EA,ELECTRONIC ARTS INC.,7372
349,1090872,A,"AGILENT TECHNOLOGIES, INC.",3826
350,29534,DG,DOLLAR GENERAL CORP,5331
351,1618756,QSR,Restaurant Brands International Inc.,5812
352,878927,ODFL,"OLD DOMINION FREIGHT LINE, INC.",4213
353,1552000,MPLX,MPLX LP,4610
354,1910139,MBLY,Mobileye Global Inc.,7372
355,1475260,CVE,CENOVUS ENERGY INC.,1311
356,1437107,WBD,"Warner Bros. Discovery, Inc.",4841
357,1376891,EXPGY,Experian Group LTD,8880
358,1381197,IBKR,"Interactive Brokers Group, Inc.",6211
359,56873,KR,KROGER CO,5411
360,1947542,TLGPY,Telstra Group Ltd,
361,1164727,NEM,NEWMONT Corp /DE/,1040
362,820027,AMP,AMERIPRISE FINANCIAL INC,6282
363,79879,PPG,PPG INDUSTRIES INC,2851
364,1709048,GFS,GLOBALFOUNDRIES Inc.,3674
365,1057352,CSGP,"COSTAR GROUP, INC.",7389
366,1461748,PPERY,PT Bank Mandiri (Persero) Tbk / ADR,
367,920760,LEN,LENNAR CORP /NEW/,1520
368,1705696,VICI,VICI PROPERTIES INC.,6798
369,1561550,DDOG,"Datadog, Inc.",7372
370,1321655,PLTR,Palantir Technologies Inc.,7372
371,1047862,ED,CONSOLIDATED EDISON INC,4931
372,1136893,FIS,"Fidelity National Information Services, Inc.",7389
373,1666700,DD,"DuPont de Nemours, Inc.",2821
374,26172,CMI,CUMMINS INC,3510
375,1090012,DVN,DEVON ENERGY CORP/DE,1311
376,1132924,CHT,CHUNGHWA TELECOM CO LTD,4812
377,1442145,VRSK,"Verisk Analytics, Inc.",7374
378,1110803,ILMN,"ILLUMINA, INC.",3826
379,1058290,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,7371
380,943819,RMD,RESMED INC,3841
381,815556,FAST,FASTENAL CO,5200
382,1791706,LI,Li Auto Inc.,3711
383,788784,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC,4931
384,1297996,DLR,"DIGITAL REALTY TRUST, INC.",6798
385,1137774,PRU,PRUDENTIAL FINANCIAL INC,6311
386,14693,BF-B,BROWN FORMAN CORP,2080
387,312069,BCS,BARCLAYS PLC,6029
388,1701605,BKR,Baker Hughes Co,3533
389,1868275,CEG,Constellation Energy Corp,4911
390,1038143,ORAN,ORANGE,4813
391,1393052,VEEV,VEEVA SYSTEMS INC,7372
392,756894,GOLD,BARRICK GOLD CORP,1040
393,861967,WTKWY,WOLTERS KLUWER N V /FI,
394,1639920,SPOT,Spotify Technology S.A.,4832
395,1012037,CODYY,COMPAGNIE DE SAINT GOBAIN,
396,1832433,FERG,Ferguson plc,5070
397,1650107,CCEP,COCA-COLA EUROPACIFIC PARTNERS plc,2086
398,1097362,SLF,SUN LIFE FINANCIAL INC,6311
399,844150,NWG,NatWest Group plc,6029
400,899051,ALL,ALLSTATE CORP,6331
401,47217,HPQ,HP INC,3570
402,49938,IMO,IMPERIAL OIL LTD,2911
403,935703,DLTR,"DOLLAR TREE, INC.",5331
404,1725964,NTR,Nutrien Ltd.,2870
405,45012,HAL,HALLIBURTON CO,1389
406,1393612,DFS,Discover Financial Services,6141
407,1330306,VWDRY,VESTAS WIND SYSTEMS A/S,8880
408,1489393,LYB,LyondellBasell Industries N.V.,2860
409,1601046,KEYS,"Keysight Technologies, Inc.",3823
410,1410636,AWK,"American Water Works Company, Inc.",4941
411,1834584,CPNG,"Coupang, Inc.",5961
412,1136869,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",3842
413,783325,WEC,"WEC ENERGY GROUP, INC.",4931
414,1792789,DASH,"DoorDash, Inc.",7389
415,1120193,NDAQ,"NASDAQ, INC.",6200
416,1037646,MTD,METTLER TOLEDO INTERNATIONAL INC/,3826
417,1013462,ANSS,ANSYS INC,7372
418,1456346,FNV,FRANCO NEVADA Corp,1040
419,63271,PCRFY,PANASONIC Corp,3651
420,1001807,TLK,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,4813
421,1498632,DNBBY,DnB NOR ASA,8880
422,24741,GLW,CORNING INC /NY,3357
423,1433913,BDORY,BANCO DO BRASIL S.A.,6029
424,1176948,ARES,Ares Management Corp,6282
425,1041130,DIA,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,
426,1396009,VMC,Vulcan Materials CO,1400
427,33185,EFX,EQUIFAX INC,7320
428,868675,TU,TELUS CORP,4812
429,749251,IT,GARTNER INC,8741
430,1618921,WBA,"Walgreens Boots Alliance, Inc.",5912
431,1441816,MDB,"MongoDB, Inc.",7372
432,915912,AVB,AVALONBAY COMMUNITIES INC,6798
433,1039684,OKE,ONEOK INC /NEW/,4923
434,1067701,URI,"UNITED RENTALS, INC.",7359
435,850918,GWLIF,GREAT-WEST LIFECO INC.,6311
436,947484,ACGL,ARCH CAPITAL GROUP LTD.,6331
437,1050915,PWR,"QUANTA SERVICES, INC.",1731
438,916076,MLM,MARTIN MARIETTA MATERIALS INC,1400
439,1776985,BNTX,BioNTech SE,2836
440,16988,CAJPY,CANON INC,3861
441,1521332,APTV,Aptiv PLC,3714
442,1123360,GPN,GLOBAL PAYMENTS INC,7389
443,1524472,XYL,Xylem Inc.,3561
444,1123799,WIT,WIPRO LTD,7371
445,1021020,OEZVY,OSTERREICHISCHE ELEKTRIZITATSWIRTSCHAFTS /FI,
446,827052,EIX,EDISON INTERNATIONAL,4911
447,105770,WST,WEST PHARMACEUTICAL SERVICES INC,3841
448,915913,ALB,ALBEMARLE CORP,2821
449,2809,AEM,AGNICO EAGLE MINES LTD,1040
450,936958,MDY,SPDR S&P MIDCAP 400 ETF TRUST,
451,1113169,TROW,PRICE T ROWE GROUP INC,6200
452,839923,VOD,VODAFONE GROUP PUBLIC LTD CO,4812
453,1404655,HUBS,HUBSPOT INC,7372
454,27904,DAL,"DELTA AIR LINES, INC.",4512
455,1699150,IR,Ingersoll Rand Inc.,3560
456,1434265,GMAB,GENMAB A/S,2834
457,1315098,RBLX,Roblox Corp,7372
458,906107,EQR,EQUITY RESIDENTIAL,6798
459,1673358,YUMC,"Yum China Holdings, Inc.",5812
460,93751,STT,STATE STREET CORP,6022
461,72741,ES,EVERSOURCE ENERGY,4911
462,1065088,EBAY,EBAY INC,7389
463,1061574,GIB,CGI INC,8742
464,1138118,CBRE,"CBRE GROUP, INC.",6500
465,1038683,RYAAY,RYANAIR HOLDINGS PLC,4512
466,1158838,ATEYY,ADVANTEST CORP,3674
467,1463101,ENPH,"Enphase Energy, Inc.",3674
468,1140536,WTW,WILLIS TOWERS WATSON PLC,6411
469,1659166,FTV,Fortive Corp,3823
470,1269238,TCOM,Trip.com Group Ltd,7389
471,1034054,SBAC,SBA COMMUNICATIONS CORP,6798
472,1539838,FANG,"Diamondback Energy, Inc.",1311
473,814052,TEF,TELEFONICA S A,4813
474,916365,TSCO,TRACTOR SUPPLY CO /DE/,5200
475,1178670,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",2834
476,1837240,SYM,Symbotic Inc.,3569
477,1451279,SAUHY,Straumann Holding AG / ADR,
478,1280452,MPWR,MONOLITHIC POWER SYSTEMS INC,3674
479,74208,UDR,"UDR, Inc.",6798
480,1097149,ALGN,ALIGN TECHNOLOGY INC,3842
481,884887,RCL,ROYAL CARIBBEAN CRUISES LTD,4400
482,889132,PKX,POSCO HOLDINGS INC.,3312
483,936340,DTE,DTE ENERGY CO,4911
484,1014473,VRSN,VERISIGN INC/CA,7371
485,313927,CHD,CHURCH & DWIGHT CO INC /DE/,2840
486,55067,K,KELLOGG CO,2040
487,1402057,CDW,CDW Corp,5961
488,1243429,MT,ArcelorMittal,3312
489,1492426,HZNP,Horizon Therapeutics Public Ltd Co,2834
490,63754,MKC,MCCORMICK & CO INC,2090
491,733099,RCI,ROGERS COMMUNICATIONS INC,4841
492,924613,NOK,NOKIA CORP,3663
493,1651308,BGNE,"BeiGene, Ltd.",2834
494,946581,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,7372
495,1697862,ARGX,ARGENX SE,2836
496,1713683,ZS,"Zscaler, Inc.",7371
497,48465,HRL,HORMEL FOODS CORP /DE/,2011
498,1031296,FE,FIRSTENERGY CORP,4911
499,1677250,ZTO,ZTO Express (Cayman) Inc.,4210
500,874766,HIG,"HARTFORD FINANCIAL SERVICES GROUP, INC.",6331
501,721371,CAH,CARDINAL HEALTH INC,5122
502,1041792,ELP,ENERGY CO OF PARANA,4911
503,1002910,AEE,AMEREN CORP,4931
504,40987,GPC,GENUINE PARTS CO,5013
505,886986,TECK,TECK RESOURCES LTD,1400
506,106535,WY,WEYERHAEUSER CO,6798
507,1159508,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,6022
508,1383650,CQP,"Cheniere Energy Partners, L.P.",4924
509,65984,ETR,ENTERGY CORP /DE/,4911
510,1033767,UMC,UNITED MICROELECTRONICS CORP,3674
511,1444406,EC,ECOPETROL S.A.,1311
512,1687229,INVH,Invitation Homes Inc.,6510
513,10456,BAX,BAXTER INTERNATIONAL INC,3841
514,1477333,NET,"Cloudflare, Inc.",7372
515,1403568,ULTA,"Ulta Beauty, Inc.",5990
516,36270,MTB,M&T BANK CORP,6022
517,1722380,AIU,Meta Data Ltd,8200
518,1035443,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",6798
519,1666175,FTS,Fortis Inc.,4911
520,1585521,ZM,"Zoom Video Communications, Inc.",7370
521,1323404,WPM,Wheaton Precious Metals Corp.,1040
522,1274494,FSLR,"FIRST SOLAR, INC.",3674
523,1809587,BEKE,KE Holdings Inc.,6531
